Formula,Volume,Mass,Energy,Heat_of_formation,Electronegativity_A,Electronegativity_B,First_Ionization_energy_A,First_Ionization_energy_B,Radius_A,Radius_B,PBE,G0W0
CdBr2,245.096,272.222,-6.441,-0.781,1.69,2.96,867.8,1139.9,161,94,2.369,4.648
CdI2,286.975,366.223,-5.298,-0.472,1.69,2.66,867.8,1008.4,161,115,1.49,3.331
FeI2,237.659,309.654,-12.022,-0.008,1.83,2.66,762.5,1008.4,156,115,0.062,0.148
HfBr2,198.379,338.298,-14.145,-1.156,1.32,2.96,658.5,1139.9,208,94,0.732,1.759
HfCl2,179.345,249.39,-15.696,-1.54,1.32,3.16,658.5,1251.2,208,79,0.908,2.092
HfI2,232.968,432.299,-12.486,-0.675,1.32,2.66,658.5,1008.4,208,115,0.63,1.421
HgBr2,253.8,360.4,-5.233,-0.393,2,2.96,1007.1,1139.9,171,94,1.573,3.298
HgCl2,229.441,271.492,-6.034,-0.526,2,3.16,1007.1,1251.2,171,79,2.084,4.192
MgBr2,226.223,184.113,-8.876,-1.363,1.31,2.96,737.7,1139.9,145,94,3.57,6.502
MgCl2,198.149,95.205,-10.279,-1.697,1.31,3.16,737.7,1251.2,145,79,4.762,8.21
MgI2,272.6,278.114,-7.339,-0.922,1.31,2.66,737.7,1008.4,145,115,2.566,4.921
MnBr2,220.473,214.746,-14.847,-0.653,1.55,2.96,717.3,1139.9,161,94,1.587,2.016
OsBr2,207.952,350.038,-11.593,0.923,2.18,2.96,840,1139.9,185,94,0,0.727
OsCl2,189.865,261.13,-12.593,0.723,2.18,3.16,840,1251.2,185,79,0,0.912
PbBr2,300.264,367.008,-9.578,-0.883,1.87,2.96,715.6,1139.9,154,94,2.275,4.436
PdCl2,197.799,177.32,-7.594,-0.068,2.2,3.16,804.4,1251.2,169,79,0,0.049
RuBr2,210.319,260.878,-11.823,0.27,2.2,2.96,710.2,1139.9,178,94,0.278,0.809
ScBr2,218.258,204.764,-12.592,-1.587,1.36,2.96,633.1,1139.9,184,94,0.157,0.306
ScCl2,195.194,115.856,-14.031,-1.934,1.36,3.16,633.1,1251.2,184,79,0.107,0.146
SnCl2,265.854,189.61,-10.31,-0.895,1.96,3.16,708.6,1251.2,145,79,2.745,4.772
SnI2,321.863,372.519,-8.374,-0.454,1.96,2.66,708.6,1008.4,145,115,1.926,3.332
SrCl2,283.001,158.52,-12.204,-2.32,0.95,3.16,549.5,1251.2,219,79,4.944,8.483
TiCl2,169.206,118.767,-14.871,-1.537,1.54,3.16,658.8,1251.2,176,79,0.903,1.636
YBr2,241.524,248.714,-13.047,-1.728,1.22,2.96,600,1139.9,212,94,0.344,1.354
YCl2,221.204,159.806,-14.407,-2.048,1.22,3.16,600,1251.2,212,79,0.374,1.611
YI2,276.817,342.715,-11.565,-1.306,1.22,2.66,600,1008.4,212,115,0.1,0.375
ZnBr2,215.775,225.188,-6.376,-0.674,1.65,2.96,906.4,1139.9,142,94,2.411,4.742
ZnCl2,189.425,136.28,-7.553,-0.933,1.65,3.16,906.4,1251.2,142,79,3.434,6.241
ZnI2,259.185,319.189,-5.075,-0.312,1.65,2.66,906.4,1008.4,142,115,0.898,2.668
ZrBr2,204.986,251.032,-14.59,-1.339,1.33,2.96,640.1,1139.9,206,94,0.828,1.737
ZrCl2,185.464,162.124,-16.088,-1.705,1.33,3.16,640.1,1251.2,206,79,0.981,1.993
ZrI2,239.705,345.033,-13.004,-0.882,1.33,2.66,640.1,1008.4,206,115,0.687,1.428
