Formula,Mass,Energy,Heat_of_formation?,Electronegativity_A,Electronegativity_B,First_Ionization_energy_A,First_Ionization_energy_B,Radius_A,Radius_B,PBE,G0W0
Ir2O2,416.432,-29.447,-0.162,2.2,3.44,880,1313.9,180,48,0.122,0.234
Ir2S2,448.554,-26.893,-0.046,2.2,2.58,880,999.6,180,88,0.297,0.094
Ir2Se2,542.376,-24.931,0.147,2.2,2.55,880,941,180,103,0.305,0.439
Rh2Se2,363.753,-21.918,-0.164,2.28,2.55,719.7,941,173,103,0.101,0.307
Sc2O2,121.91,-30.625,-2.764,1.36,3.44,633.1,1313.9,184,48,0.7,1.355
Sc2S2,154.032,-22.567,-1.273,1.36,2.58,633.1,999.6,184,88,0.414,1.004
Sc2Se2,247.854,-20.482,-1.049,1.36,2.55,633.1,941,184,103,0.4,0.851
Sc2Te2,345.112,-17.987,-0.564,1.36,2.12,633.1,869.3,184,123,0.291,0.556
Ti2Te2,350.934,-20.176,-0.096,1.54,2.12,658.8,869.3,176,123,0.217,0.411
V2S2,166.003,-26.916,-0.428,1.63,2.58,650.9,999.6,171,88,0.214,0.366
V2Se2,259.825,-24.887,-0.218,1.63,2.55,650.9,941,171,103,0.257,0.572
V2Te2,357.083,-22.72,0.185,1.63,2.12,650.9,869.3,171,123,0.224,0.55
C2F2,62.019,-25.262,-0.912,2.55,3.98,1086.5,1681,67,42,3.165,7.195
C2H2,26.038,-25.623,-0.134,2.55,2.2,1086.5,1312,67,53,3.46,6.416
F2Ge2,183.257,-18.07,-1.466,3.98,2.01,1681,762,42,125,0,0.35
Ge2H2,147.276,-15.35,0.082,2.01,2.2,762,1312,125,53,0.92,2.353
F2Si2,94.167,-21.041,-1.767,3.98,1.98,1681,786.5,42,111,0.666,2.333
H2Si2,58.186,-17.425,0.005,2.2,1.98,1312,786.5,53,111,2.171,3.833
